CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;13:18:17.439;1.0;1:46.287;20.985;51.778;33.524;141,647
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;13:20:02.357;2.0;1:44.918;20.826;51.509;32.583;143,495
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;13:21:46.796;3.0;1:44.439;20.668;51.463;32.308;144,153
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;13:31:10.613;4.0;7:22.232;;53.158;32.571;34,044
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;13:32:54.998;5.0;1:44.385;20.412;51.388;32.585;144,228
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;13:34:38.966;6.0;1:43.968;20.429;51.130;32.409;144,806
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;13:36:23.462;7.0;1:44.496;20.693;51.568;32.235;144,074
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;13:38:22.911;8.0;1:59.449;21.581;56.725;;126,039
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;13:53:03.028;9.0;14:40.117;;1:04.522;34.702;17,106
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;14:01:29.427;10.0;6:05.400;;58.019;39.853;41,202
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;14:03:16.593;11.0;1:47.166;22.404;52.295;32.467;140,485
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;14:05:01.374;12.0;1:44.781;20.657;51.739;32.385;143,683
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;22 - Caio CASTRO - CHA;14:06:45.355;13.0;1:43.981;20.475;51.318;32.188;144,788
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;66 - Sadak Leite - CHA;13:17:48.526;1.0;5:56.777;;53.525;34.173;42,198
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;66 - Sadak Leite - CHA;13:19:34.405;2.0;1:45.879;20.975;51.644;33.26;142,193
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;66 - Sadak Leite - CHA;13:21:19.553;3.0;1:45.148;20.691;51.390;33.067;143,181
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;66 - Sadak Leite - CHA;13:32:42.662;4.0;9:30.089;;54.525;33.519;26,409
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;66 - Sadak Leite - CHA;13:34:27.448;5.0;1:44.786;20.672;51.446;32.668;143,676
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;66 - Sadak Leite - CHA;13:36:11.558;6.0;1:44.110;20.666;50.914;32.53;144,609
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;66 - Sadak Leite - CHA;13:37:55.759;7.0;1:44.201;20.641;50.562;32.998;144,482
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;66 - Sadak Leite - CHA;13:39:41.586;8.0;1:45.827;21.062;51.838;32.927;142,262
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:09:21.639;1.0;1:48.064;21.292;53.779;32.993;139,317
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:16:53.292;2.0;5:19.392;;54.929;33.179;47,137
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:18:38.141;3.0;1:44.849;20.779;51.198;32.872;143,589
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:20:22.942;4.0;1:44.801;20.672;51.335;32.794;143,655
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:22:07.917;5.0;1:44.975;20.696;51.639;32.64;143,417
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:33:59.246;6.0;9:42.756;;54.191;33.304;25,834
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:35:45.558;7.0;1:46.312;21.168;52.259;32.885;141,613
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:37:33.564;8.0;1:48.006;20.448;52.099;35.459;139,392
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:39:21.769;9.0;1:48.205;20.477;51.270;36.458;139,136
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:41:11.900;10.0;1:50.131;22.146;55.109;32.876;136,703
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:52:23.496;11.0;8:59.563;9:43.598;52.906;35.092;27,903
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;13:54:37.724;12.0;2:14.228;20.526;57.568;;112,161
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;14:01:18.645;13.0;6:40.921;;56.301;37.073;37,552
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;14:03:08.582;14.0;1:49.937;20.608;55.293;34.036;136,944
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;14:04:52.750;15.0;1:44.168;20.528;51.188;32.452;144,528
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;45 - Jose Moura Neto - CHA S;14:06:51.610;16.0;1:58.860;20.468;54.078;;126,663
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;21 - Daniel Neumann - CHA R;13:08:57.011;1.0;1:47.051;22.648;51.907;32.496;140,636
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;21 - Daniel Neumann - CHA R;13:16:18.372;2.0;5:26.338;;53.868;33.631;46,134
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;21 - Daniel Neumann - CHA R;13:18:46.373;3.0;2:28.001;20.276;50.554;;101,724
