Local;Evento;CATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;14 - André GAIDZINSKI - CHA S;13:40:28.051;9.0;1:46.870;0:21.149;0:52.353;0:33.368;140.873
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:09:27.538;1.0;1:52.801;0:22.681;0:54.899;0:35.219;133.467
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:17:02.297;2.0;5:21.889;---;0:54.514;0:35.665;46.771
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:18:50.266;3.0;1:47.968;0:21.160;0:53.301;0:33.508;139.44
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:20:40.224;4.0;1:49.957;0:23.234;0:52.753;0:33.969;136.918
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:22:27.031;5.0;1:46.807;0:20.829;0:52.344;0:33.634;140.957
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:32:00.472;6.0;7:08.937;7:58.545;0:58.453;0:36.442;35.099
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:33:48.674;7.0;1:48.201;0:21.516;0:53.356;0:33.329;139.14
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:35:35.266;8.0;1:46.591;0:21.065;0:52.384;0:33.142;141.241
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:37:23.628;9.0;1:48.361;0:21.292;0:53.643;0:33.426;138.934
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:39:10.723;10.0;1:47.094;0:21.028;0:52.524;0:33.542;140.578
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:40:59.400;11.0;1:48.677;0:21.420;0:53.277;0:33.978;138.532
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;13:52:54.532;12.0;9:44.003;10:20.541;0:57.978;0:36.612;25.779
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;14:01:15.634;13.0;6:02.259;---;0:56.753;0:34.457;41.559
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;14:03:03.434;14.0;1:47.799;0:21.163;0:52.854;0:33.781;139.659
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;14:04:51.457;15.0;1:48.022;0:21.001;0:53.579;0:33.442;139.37
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;46 - Fabián TARABORELLI - CHA S;14:06:39.356;16.0;1:47.899;0:21.486;0:53.088;0:33.325;139.53
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;13:09:16.749;1.0;1:49.620;0:21.495;0:54.128;0:33.996;137.339
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;13:16:55.683;2.0;5:25.553;---;0:56.075;0:35.079;46.245
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;13:18:43.779;3.0;1:48.096;0:21.091;0:53.494;0:33.509;139.276
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;13:20:33.203;4.0;1:49.424;0:22.431;0:53.011;0:33.981;137.586
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;13:22:21.637;5.0;1:48.433;0:21.210;0:53.228;0:33.996;138.842
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;13:33:57.011;6.0;9:33.403;---;0:54.993;0:34.503;26.256
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;13:35:44.432;7.0;1:47.421;0:21.077;0:52.347;0:33.996;140.151
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;13:37:31.175;8.0;1:46.742;0:21.126;0:52.043;0:33.573;141.042
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;13:39:18.343;9.0;1:47.168;0:20.913;0:52.462;0:33.792;140.482
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;13:41:05.304;10.0;1:46.960;0:20.791;0:52.119;0:34.049;140.754
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;14:01:32.445;11.0;6:22.283;---;0:56.091;0:34.762;39.382
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;14:03:19.893;12.0;1:47.447;0:21.469;0:52.588;0:33.389;140.116
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;100 - Raphael BERNARDES - CHA R;14:05:07.059;13.0;1:47.165;0:20.792;0:52.585;0:33.786;140.485
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;129 - Fernando Arruda - CHA R;13:10:14.160;1.0;2:41.415;---;0:54.000;0:34.173;93.27
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;129 - Fernando Arruda - CHA R;13:18:25.830;2.0;5:55.555;5:49.233;0:54.085;---;42.343
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;129 - Fernando Arruda - CHA R;13:52:29.429;3.0;34:03.598;---;0:56.473;0:33.979;7.367
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;129 - Fernando Arruda - CHA R;13:54:45.098;4.0;2:15.669;0:21.202;0:58.841;---;110.97
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;129 - Fernando Arruda - CHA R;14:01:25.481;5.0;6:40.382;---;0:52.682;0:34.398;37.602
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;129 - Fernando Arruda - CHA R;14:04:00.544;6.0;2:35.062;1:04.647;0:56.793;0:33.621;97.091
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;129 - Fernando Arruda - CHA R;14:05:49.071;7.0;1:48.527;0:21.527;0:53.182;0:33.817;138.723
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;13:09:47.438;1.0;1:59.742;0:22.931;0:59.798;0:37.012;125.73
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;13:17:30.171;2.0;5:29.290;---;0:58.481;0:36.360;45.72
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;13:19:24.401;3.0;1:54.230;0:21.675;0:56.009;0:36.545;131.797
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;13:21:23.014;4.0;1:58.612;0:22.625;0:58.061;0:37.926;126.927
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;13:33:32.967;5.0;10:04.238;---;0:55.750;0:35.134;24.916
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;13:35:25.249;6.0;1:52.281;0:21.516;0:54.543;0:36.220;134.084
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;13:37:18.144;7.0;1:52.894;0:21.832;0:55.704;0:35.357;133.356
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;13:39:10.043;8.0;1:51.899;0:21.196;0:54.304;0:36.399;134.543
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;13:41:02.547;9.0;1:52.504;0:21.346;0:56.079;0:35.078;133.819
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;13:52:58.233;10.0;9:40.724;10:21.871;0:57.075;0:36.738;25.925
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;14:01:40.782;11.0;6:21.607;---;0:57.848;0:35.966;39.452
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;14:03:33.966;12.0;1:53.183;0:21.855;0:55.604;0:35.723;133.015
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;18 - Ricardo Zylberman - CHA R;14:05:30.042;13.0;1:56.075;0:22.463;0:57.783;0:35.829;129.701
