"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SSTRAP","SSTRAP Tm"
111 - Neto CARLONI - TROPHY
"9:23:38.693","9","9","1:43.737","149,536","0,0","39.674","0,0","32.744","0,0","31.319","",""
"9:25:22.377","10","10","1:43.684","149,612","0,0","39.235","0,0","32.538","0,0","31.911","",""
"9:27:06.333","11","11","1:43.956","149,221","0,0","39.541","0,0","32.793","0,0","31.622","",""
"9:28:52.711","12","12","1:46.378","145,823","0,0","40.268","0,0","33.731","0,0","32.379","",""
"9:30:37.876","13","13","1:45.165","147,505","0,0","39.969","0,0","33.228","0,0","31.968","",""
777 - Lucas LUCCO - SPORT
"9:09:33.115","1","1","1:49.994","141,030","0,0","43.246","0,0","34.077","0,0","32.671","",""
"9:11:19.748","2","2","1:46.633","145,475","0,0","40.866","0,0","33.809","0,0","31.958","",""
"9:13:05.486","3","3","1:45.738","146,706","0,0","40.718","0,0","33.479","0,0","31.541","",""
"9:14:50.200","4","4","1:44.714","148,141","0,0","39.839","0,0","33.322","0,0","31.553","",""
"9:16:35.938","5","5","1:45.738","146,706","0,0","40.575","0,0","33.548","0,0","31.615","",""
"9:18:20.110","6","6","1:44.172","148,911","0,0","39.734","0,0","33.151","0,0","31.287","",""
"9:20:06.269","7","7","1:46.159","146,124","0,0","41.315","0,0","33.373","0,0","31.471","",""
"9:21:51.044","8","8","1:44.775","148,054","0,0","40.091","0,0","33.160","0,0","31.524","",""
"9:23:36.382","9","9","1:45.338","147,263","0,0","39.653","0,0","34.200","0,0","31.485","",""
"9:25:20.672","10","10","1:44.290","148,743","0,0","39.727","0,0","33.150","0,0","31.413","",""
"9:27:05.566","11","11","1:44.894","147,886","0,0","39.696","0,0","33.835","0,0","31.363","",""
"9:28:54.731","12","12","1:49.165","142,100","0,0","41.226","0,0","34.960","0,0","32.979","",""
"9:30:41.020","13","13","1:46.289","145,945","0,0","40.927","0,0","33.612","0,0","31.750","",""
1 - Gustavo COSTA - SPORT
"9:09:30.912","1","1","1:49.340","141,873","0,0","43.587","0,0","34.152","0,0","31.601","",""
"9:11:20.297","2","2","1:49.385","141,815","0,0","43.579","0,0","34.192","0,0","31.614","",""
"9:13:07.987","3","3","1:47.690","144,047","0,0","41.500","0,0","33.081","0,0","33.109","",""
"9:14:52.940","4","4","1:44.953","147,803","0,0","40.241","0,0","33.261","0,0","31.451","",""
"9:16:38.419","5","5","1:45.479","147,066","0,0","40.731","0,0","33.223","0,0","31.525","",""
"9:18:22.735","6","6","1:44.316","148,706","0,0","40.005","0,0","33.190","0,0","31.121","",""
"9:20:07.226","7","7","1:44.491","148,457","0,0","40.190","0,0","32.905","0,0","31.396","",""
"9:21:52.059","8","8","1:44.833","147,972","0,0","40.285","0,0","33.249","0,0","31.299","",""
"9:23:36.901","9","9","1:44.842","147,960","0,0","40.042","0,0","33.286","0,0","31.514","",""
"9:25:22.963","10","10","1:46.062","146,258","0,0","40.200","0,0","33.240","0,0","32.622","",""
"9:27:07.080","11","11","1:44.117","148,990","0,0","40.115","0,0","32.782","0,0","31.220","",""
"9:28:55.108","12","12","1:48.028","143,596","0,0","40.013","0,0","34.778","0,0","33.237","",""
"9:30:41.774","13","13","1:46.666","145,430","0,0","40.922","0,0","33.684","0,0","32.060","",""
5 - Guilherme FIGUEIREDO - SPORT
"9:09:35.062","1","1","1:52.400","138,011","0,0","44.114","0,0","34.927","0,0","33.359","",""
"9:11:27.129","2","2","1:52.067","138,421","0,0","43.867","0,0","35.537","0,0","32.663","",""
"9:13:15.377","3","3","1:48.248","143,304","0,0","41.882","0,0","34.305","0,0","32.061","",""
"9:15:03.342","4","4","1:47.965","143,680","0,0","41.431","0,0","33.735","0,0","32.799","",""
"9:16:49.282","5","5","1:45.940","146,426","0,0","40.363","0,0","33.537","0,0","32.040","",""
"9:18:35.451","6","6","1:46.169","146,110","0,0","40.364","0,0","33.592","0,0","32.213","",""
