Piloto;SUBCATEGORIA;;;;;
9 - Edu GUEDES - CAR R;CARRERA ROOKIE;;;;;
9 - Edu GUEDES ( M ) - CAR R;CARRERA ROOKIE;;;;;
25 - Paulo SOUSA - CAR R;CARRERA SPORT;;;;;
25 - Paulo SOUSA ( M ) - CAR R;CARRERA SPORT;;;;;
444 - Markenson MARQUES - CHA S;CHALLENGE SPORT;;;;;
88 - Alex FONSECA - SPORT;TROPHY SPORT;;;;;
45 - José M. JUNIOR - SPORT;TROPHY SPORT;;;;;
15 - Marco MASCARI - SPORT;TROPHY SPORT;;;;;
27 - Nilson JOCIONIS - SPORT;TROPHY SPORT;;;;;
36 - Heverton CARDOSO - CHA R;CHALLENGE ROOKIE;;;;;
;;;;;;
;;;;;;
ENDURANCE ;;;;;;
544 - M.Müller / F.Fraga - CAR;CARRERA;;;;;
118 - M. Comparatto / A. Leist - CAR;CARRERA;;;;;
7 - M.Paludo / A.Hellmeister - CAR;CARRERA;;;;;
70 - L.Salles / R.Suzuki - CAR;CARRERA;;;;;
88 - P.Boesel / L.Zendeli - CAR;CARRERA;;;;;
100 - S. Malucelli / M.Gomes - CAR S;CARRERA SPORT;;;;;
80 - R.Ziemkiewicz / N.Piquet Jr - CAR S;CARRERA SPORT;;;;;
33 - A.Bassani / N.Costa - CAR;CARRERA;;;;;
12 - M.Pisani / R.Guerra - CAR R;CARRERA ROOKIE;;;;;
87 - N.Monteiro / T.Camilo - CAR S;CARRERA SPORT;;;;;
85 - E.Menossi / L.Reis - CAR R;CARRERA ROOKIE;;;;;
27 - J.Junior / S.Ramalho - CAR S;CARRERA SPORT;;;;;
77 - F.Horta / W.Freire - CAR S;CARRERA SPORT;;;;;
911 - S.Morestoni / J.Giassi - CAR R;CARRERA ROOKIE;;;;;
14 - C.Campos / T.Vivacqua - CAR S;CARRERA SPORT;;;;;
22 - C.Castro / D.Dirani - CAR S;CARRERA SPORT;;;;;
38 - E.Santos / G.Robe - CAR R;CARRERA ROOKIE;;;;;
25 - P.Sousa / G.Osman - CAR R;CARRERA ROOKIE;;;;;
45 - J.M.Neto / M.Iorio - CHA S;CHALLENGE SPORT;;;;;
55 - C.Ruiz / C.Ruiz Jr. - CHA R;CHALLENGE ROOKIE;;;;;
