"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SSTRAP","SSTRAP Tm"
32 - Matheus Roque - CHA S
"13:20:22.942","4","1:44.801","143,655","170,8","20.672","71,0","51.335","238,2","32.794","252,3","0.428"
"13:22:07.917","5","1:44.975","143,417","170,6","20.696","70,6","51.639","239,3","32.640","252,3","0.428"
"13:33:59.246","6","9:42.756","25,834","","","67,2","54.191","234,6","33.304","",""
"13:35:45.558","7","1:46.312","141,613","166,8","21.168","69,7","52.259","237,6","32.885","240,5","0.449"
"13:37:33.564","8","1:48.006","139,392","172,7","20.448","69,9","52.099","220,3","35.459","252,9","0.427"
"13:39:21.769","9","1:48.205","139,136","172,5","20.477","71,1","51.270","214,3","36.458","251,2","0.430"
"13:41:11.900","10","1:50.131","136,703","159,5","22.146","66,1","55.109","237,6","32.876","242,7","0.445"
"13:52:23.496","11","8:59.563","27,903","6,1","9:43.598","68,9","52.906","222,6","35.092","",""
"13:54:37.724","12","2:14.228","112,161","172,1","20.526","63,3","57.568","","","252,3","0.428"
"14:01:18.645","13","6:40.921","37,552","","","64,7","56.301","210,7","37.073","",""
"14:03:08.582","14","1:49.937","136,944","171,4","20.608","65,9","55.293","229,5","34.036","248,8","0.434"
"14:04:52.750","15","1:44.168","144,528","172,0","20.528","71,2","51.188","240,7","32.452","251,2","0.430"
"14:06:51.610","16","1:58.860","126,663","172,5","20.468","67,4","54.078","","","254,1","0.425"
21 - Daniel Neumann - CHA R
"13:08:57.011","1","1:47.051","140,636","155,9","22.648","70,2","51.907","240,4","32.496","170,1","0.635"
"13:16:18.372","2","5:26.338","46,134","","","67,6","53.868","232,3","33.631","",""
"13:18:46.373","3","2:28.001","101,724","174,2","20.276","72,1","50.554","","","252,3","0.428"
"13:36:32.904","4","17:46.531","14,116","","","64,9","56.167","236,3","33.064","",""
"13:38:18.451","5","1:45.547","142,640","170,6","20.702","70,4","51.765","236,2","33.080","252,9","0.427"
"13:40:02.647","6","1:44.196","144,489","173,3","20.379","71,2","51.161","239,2","32.656","254,7","0.424"
"13:52:57.840","7","10:52.020","23,090","","","63,5","57.399","225,3","34.679","",""
"14:01:59.566","8","6:43.922","37,273","","","53,4","1:08.282","","","",""
"14:05:10.658","9","3:11.092","78,785","","","67,4","54.028","232,8","33.559","",""
54 - Caio Chaves - CHA
"13:33:22.157","1","8:00.223","31,350","","","65,9","55.310","231,8","33.695","",""
"13:35:07.930","2","1:45.773","142,335","164,9","21.421","70,5","51.650","238,9","32.702","246,0","0.439"
"13:36:52.663","3","1:44.733","143,748","171,2","20.633","71,0","51.319","238,3","32.781","248,3","0.435"
"13:38:49.361","4","1:56.698","129,010","162,6","21.714","59,0","1:01.783","235,3","33.201","250,6","0.431"
"13:40:33.588","5","1:44.227","144,446","171,3","20.618","71,1","51.224","241,2","32.385","250,6","0.431"
"14:01:28.217","6","6:01.862","41,605","","","69,3","52.601","231,1","33.806","",""
"14:03:16.126","7","1:47.909","139,518","157,2","22.470","69,3","52.551","237,5","32.888","246,6","0.438"
"14:05:08.613","8","1:52.487","133,839","171,0","20.651","63,9","57.040","224,5","34.796","247,7","0.436"
82 - Gerson CAMPOS - CHA
"13:09:09.401","1","1:45.411","142,824","168,8","20.919","70,4","51.775","238,8","32.717","247,1","0.437"
"13:17:01.477","2","5:33.088","45,199","","","66,1","55.140","219,0","35.670","",""
"13:18:46.629","3","1:45.152","143,176","171,5","20.587","70,7","51.510","236,3","33.055","251,7","0.429"
"13:20:36.674","4","1:50.045","136,809","172,4","20.484","64,6","56.380","235,4","33.181","252,9","0.427"
"13:22:21.918","5","1:45.244","143,050","172,7","20.452","70,3","51.821","236,9","32.971","253,5","0.426"
"13:31:25.492","6","6:48.502","36,855","","","68,3","53.340","235,9","33.120","",""
"13:33:10.105","7","1:44.613","143,913","172,5","20.470","70,9","51.364","238,3","32.779","251,7","0.429"
"13:34:54.793","8","1:44.688","143,810","171,5","20.587","71,0","51.348","238,5","32.753","252,3","0.428"
"13:36:39.134","9","1:44.341","144,288","173,1","20.400","70,8","51.440","240,4","32.501","251,7","0.429"
"13:38:23.401","10","1:44.267","144,391","173,0","20.416","71,1","51.220","239,4","32.631","254,1","0.425"
"13:40:07.741","11","1:44.340","144,290","173,0","20.410","71,2","51.163","238,4","32.767","254,7","0.424"
"13:52:36.600","12","10:19.982","24,283","","","70,3","51.853","238,8","32.712","",""
"14:01:52.756","13","6:56.263","36,168","","","61,8","58.993","235,7","33.140","",""
"14:03:38.291","14","1:45.535","142,656","168,9","20.907","70,6","51.601","236,5","33.027","250,6","0.431"
"14:05:38.622","15","2:00.331","125,115","171,3","20.622","68,3","53.349","","","252,3","0.428"
77 - Mario Delara - CHA S
"13:09:50.283","1","1:57.081","128,588","167,9","21.037","60,9","59.815","215,6","36.229","246,6","0.438"
"13:17:25.466","2","5:18.628","47,250","","","65,4","55.682","230,5","33.887","",""
"13:19:10.828","3","1:45.362","142,890","170,2","20.747","70,3","51.824","238,2","32.791","252,3","0.428"
"13:21:07.921","4","1:57.093","128,575","149,6","23.605","60,5","1:00.219","234,8","33.269","204,5","0.528"
"13:32:35.220","5","9:28.266","26,493","","","68,8","52.936","210,9","37.033","",""
"13:34:19.791","6","1:44.571","143,971","172,2","20.504","71,0","51.299","238,4","32.768","251,7","0.429"
"13:36:04.092","7","1:44.301","144,344","170,1","20.756","71,0","51.287","242,2","32.258","252,3","0.428"
"13:38:02.248","8","1:58.156","127,418","168,8","20.926","71,2","51.184","","","254,1","0.425"
"13:52:21.233","9","14:18.985","17,527","","","65,8","55.351","231,5","33.744","",""
"13:54:35.499","10","2:14.266","112,130","171,5","20.591","61,8","58.964","","","252,9","0.427"
"14:01:11.659","11","6:36.160","38,003","","","67,2","54.230","231,6","33.736","",""
"14:03:02.373","12","1:50.714","135,983","171,0","20.648","64,8","56.253","231,0","33.813","252,9","0.427"
"14:04:47.106","13","1:44.733","143,748","171,0","20.649","70,7","51.544","240,1","32.540","253,5","0.426"
"14:06:31.879","14","1:44.773","143,694","172,6","20.457","70,9","51.368","237,1","32.948","254,7","0.424"
5 - George Crispim - CHA S
